City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Kashan,IR,33.9831,51.4364,78.49,27,3,7.14,clear sky
Mahébourg,MU,-20.4081,57.7,79.09,65,40,12.66,light rain
Ushuaia,AR,-54.8,-68.3,38.86,60,20,9.22,few clouds
Albany,US,42.6001,-73.9662,53.8,96,0,1.63,clear sky
Jamestown,US,42.097,-79.2353,63.72,100,90,5.75,mist
Kapaa,US,22.0752,-159.319,77.32,75,75,5.99,broken clouds
Hithadhoo,MV,-0.6,73.0833,83.84,74,67,9.37,broken clouds
Diego de Almagro,CL,-26.3667,-70.05,55.09,53,59,2.8,broken clouds
Lao Cai,VN,22.4833,103.95,85.64,69,5,2.13,clear sky
Debre Tabor,ET,11.85,38.0167,67.53,48,78,6.93,broken clouds
Hobart,AU,-42.8794,147.3294,50.05,60,40,3.0,scattered clouds
Valley City,US,46.9233,-98.0032,57.94,100,1,10.36,clear sky
Tegul'det,RU,57.3064,88.1667,35.35,97,100,10.02,overcast clouds
New Norfolk,AU,-42.7826,147.0587,49.71,55,25,1.99,moderate rain
Sitka,US,57.0531,-135.33,46.29,71,90,13.8,light rain
Thompson,CA,55.7435,-97.8558,44.76,87,75,4.61,broken clouds
Cape Town,ZA,-33.9258,18.4232,80.11,50,0,12.66,clear sky
Dicabisagan,PH,17.0818,122.4157,79.92,87,100,3.22,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,65.52,68,20,9.22,few clouds
Mar del Plata,AR,-38.0023,-57.5575,46.13,77,40,1.99,scattered clouds
Albanel,CA,48.8832,-72.4487,48.34,93,41,3.44,scattered clouds
Guerrero Negro,MX,27.9769,-114.0611,68.41,80,100,12.19,overcast clouds
Vaini,TO,-21.2,-175.2,75.36,94,75,3.44,light rain
Rikitea,PF,-23.1203,-134.9692,73.27,80,78,14.23,broken clouds
Ambon City,ID,-3.6954,128.1814,77.14,94,40,5.75,scattered clouds
Kavieng,PG,-2.5744,150.7967,82.15,74,97,7.23,overcast clouds
Castro,BR,-24.7911,-50.0119,63.52,96,100,1.99,overcast clouds
Faya,SA,18.3851,42.4509,82.51,22,7,6.49,clear sky
São Paulo do Potengi,BR,-5.895,-35.7628,78.91,73,63,11.99,broken clouds
Sisimiut,GL,66.9395,-53.6735,31.89,69,86,8.43,overcast clouds
Aklavik,CA,68.2191,-135.0107,30.92,89,17,5.17,few clouds
Souillac,MU,-20.5167,57.5167,79.18,65,40,12.66,scattered clouds
San Patricio,US,28.017,-97.5169,78.84,71,1,6.22,clear sky
Chokurdakh,RU,70.6333,147.9167,12.94,89,84,7.0,broken clouds
George Town,MY,5.4112,100.3354,87.73,74,20,3.0,few clouds
Leningradskiy,RU,69.3833,178.4167,24.08,97,100,4.38,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,39.31,81,20,18.41,few clouds
Nanortalik,GL,60.1432,-45.2371,37.65,61,84,4.56,broken clouds
Paso de Carrasco,UY,-34.8603,-56.0522,48.65,61,75,9.22,broken clouds
Ambilobe,MG,-13.2,49.05,90.3,39,31,12.91,scattered clouds
Garoowe,SO,8.4054,48.4845,91.27,37,72,17.4,broken clouds
Mirny,RU,62.5353,113.9611,32.27,96,99,10.27,overcast clouds
Khani,GE,41.9563,42.9566,62.17,50,12,6.31,few clouds
Butaritari,KI,3.0707,172.7902,82.11,69,61,13.02,broken clouds
Padang,ID,-0.9492,100.3543,86.05,78,80,4.65,moderate rain
Bilibino,RU,68.0546,166.4372,-1.71,98,43,4.25,scattered clouds
Marsh Harbour,BS,26.5412,-77.0636,82.44,75,34,14.0,scattered clouds
East London,ZA,-33.0153,27.9116,72.54,73,0,23.02,clear sky
Balkhash,KZ,46.844,74.9804,47.01,36,0,13.42,clear sky
Kathmandu,NP,27.7167,85.3167,79.02,69,40,9.22,scattered clouds
Havøysund,NO,70.9963,24.6622,41.23,69,100,18.41,overcast clouds
Hilo,US,19.7297,-155.09,74.93,80,40,8.05,light rain
Verkhovyna,UA,48.1557,24.7911,53.89,54,29,8.46,scattered clouds
Mataura,NZ,-46.1927,168.8643,53.47,82,36,3.0,scattered clouds
Marzuq,YE,14.4,46.4667,88.84,28,38,7.94,scattered clouds
Verkhnevilyuysk,RU,63.4453,120.3167,30.42,96,100,7.05,light snow
Port Elizabeth,ZA,-33.918,25.5701,83.1,73,0,19.57,clear sky
Maralal,KE,1.0968,36.698,75.11,42,84,6.71,broken clouds
Saint-Philippe,RE,-21.3585,55.7679,78.35,80,50,9.89,light rain
Arraial do Cabo,BR,-22.9661,-42.0278,73.36,88,75,9.22,broken clouds
Muriti,TZ,-1.9833,32.9167,78.57,51,22,3.33,few clouds
Vila Velha,BR,-20.3297,-40.2925,73.35,94,40,6.91,scattered clouds
Bambous Virieux,MU,-20.3428,57.7575,79.05,65,40,12.66,light rain
Torbay,CA,47.6666,-52.7314,47.75,93,75,6.91,broken clouds
Inhambane,MZ,-23.865,35.3833,80.58,50,40,9.22,scattered clouds
Aykhal,RU,66.0,111.5,26.28,95,99,18.1,overcast clouds
Cherskiy,RU,68.75,161.3,3.25,99,62,5.28,broken clouds
Evensk,RU,61.95,159.2333,25.48,58,18,7.45,few clouds
Quatre Cocos,MU,-20.2078,57.7625,78.91,68,44,2.59,light rain
